date,open,high,low,close,first_diff,pc_change,month,year
2016-11-08,16.5075,17.3775,15.0675,16.77,0.2624999999999993,1.5901862789641008,11,2016
2016-11-09,16.77,22.79,15.84,16.62,-0.14999999999999858,-0.8944543828264706,11,2016
2016-11-10,16.62,16.62,14.235,15.4575,-1.1625000000000014,-6.994584837545137,11,2016
2016-11-11,15.4575,17.71,14.1675,17.365,1.9074999999999989,12.34028788613941,11,2016
2016-11-15,17.365,20.835,16.455,20.145,2.780000000000001,16.009213936078325,11,2016
2016-11-16,20.145,20.19,16.9025,19.5025,-0.6424999999999983,-3.1893770166294244,11,2016
2016-11-17,19.5025,19.5025,17.4375,18.71,-0.7925000000000004,-4.063581592103582,11,2016
2016-11-18,18.71,18.71,15.855,17.805,-0.9050000000000011,-4.836985569214325,11,2016
2016-11-21,17.805,19.765,15.7175,19.0975,1.2925000000000004,7.2591968548160635,11,2016
2016-11-22,19.0975,20.1325,17.945,18.465,-0.6325000000000003,-3.311951826155257,11,2016
2016-11-23,18.465,23.0925,16.34,18.04,-0.4250000000000007,-2.301651773625779,11,2016
2016-11-24,18.04,18.5825,16.64,17.16,-0.879999999999999,-4.8780487804877986,11,2016
2016-11-25,17.16,18.87,16.87,17.6125,0.45250000000000057,2.6369463869463816,11,2016
2016-11-28,17.6125,18.6075,16.8175,18.055,0.442499999999999,2.5124201561391057,11,2016
2016-11-29,18.055,18.215,16.515,17.7075,-0.34750000000000014,-1.9246746053724784,11,2016
2016-11-30,17.7075,17.9925,16.04,16.85,-0.8574999999999982,-4.842580827333043,11,2016
2016-12-01,16.85,16.89,14.335,16.6875,-0.16250000000000142,-0.9643916913946726,12,2016
2016-12-02,16.6875,18.19,15.8275,17.9325,1.245000000000001,7.460674157303382,12,2016
2016-12-05,17.9325,18.295,16.92,17.2875,-0.6449999999999996,-3.5968214136344545,12,2016
2016-12-06,17.2875,17.355,14.9625,17.105,-0.182500000000001,-1.05567606652206,12,2016
2016-12-07,17.105,17.11,15.5075,16.845,-0.26000000000000156,-1.5200233849751665,12,2016
2016-12-08,16.845,16.845,14.1625,15.525,-1.3199999999999985,-7.836153161175419,12,2016
2016-12-09,15.525,15.6375,14.5325,15.0675,-0.4574999999999996,-2.946859903381638,12,2016
2016-12-12,15.0675,16.3125,14.215,16.1925,1.1249999999999982,7.466401194624184,12,2016
2016-12-13,16.1925,16.4825,13.755,15.9225,-0.2699999999999996,-1.6674386289948995,12,2016
2016-12-14,15.9225,16.6725,14.43,16.5925,0.6700000000000017,4.2078819280891855,12,2016
2016-12-15,16.5925,16.5925,15.255,15.655,-0.9375000000000018,-5.650143136959485,12,2016
2016-12-16,15.655,15.655,13.445,15.2525,-0.40249999999999986,-2.5710635579687002,12,2016
2016-12-19,15.2525,15.585,13.2525,14.8375,-0.41499999999999915,-2.720865431896402,12,2016
2016-12-20,14.8375,14.9275,13.4025,14.5375,-0.3000000000000007,-2.0219039595619215,12,2016
2016-12-21,14.5375,14.8575,13.335,14.705,0.16750000000000043,1.1521926053310372,12,2016
2016-12-22,14.705,15.7025,12.7625,15.5525,0.8475000000000001,5.763345800748043,12,2016
2016-12-23,15.5525,15.78,12.6125,15.1275,-0.4250000000000007,-2.7326796334994463,12,2016
2016-12-26,15.1275,16.905,13.435,16.6025,1.4749999999999996,9.750454470335491,12,2016
2016-12-27,16.6025,16.7625,14.9475,15.0825,-1.5199999999999996,-9.155247703659086,12,2016
